Title,Occurence,HolidayDate,"Pay and Leave Holiday Date (if SAT, then FRI if SUN  then MON)",Month,Day,Year,WeekDay
New Year's Day,Year Start,1/1/04,1/1/04,1,1,2004,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/04,1/19/04,1,19,2004,2
Washington's Birthday,Third Monday in Feb,2/16/04,2/16/04,2,16,2004,2
Memorial Day,Last Monday in May,5/31/04,5/31/04,5,31,2004,2
Independence Day,Annual,7/4/04,7/5/04,7,4,2004,1
Labor Day,First Monday in Sept,9/6/04,9/6/04,9,6,2004,2
Columbus Day,Second Monday in Oct,10/11/04,10/11/04,10,11,2004,2
Veterans Day,Annual,11/11/04,11/11/04,11,11,2004,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/04,11/25/04,11,25,2004,5
Christmas Day,Annual,12/25/04,12/24/04,12,25,2004,7
New Year's Day,Year Start,1/1/05,12/31/04,1,1,2005,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/05,1/17/05,1,17,2005,2
Washington's Birthday,Third Monday in Feb,2/21/05,2/21/05,2,21,2005,2
Memorial Day,Last Monday in May,5/30/05,5/30/05,5,30,2005,2
Independence Day,Annual,7/4/05,7/4/05,7,4,2005,2
Labor Day,First Monday in Sept,9/5/05,9/5/05,9,5,2005,2
Columbus Day,Second Monday in Oct,10/10/05,10/10/05,10,10,2005,2
Veterans Day,Annual,11/11/05,11/11/05,11,11,2005,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/05,11/24/05,11,24,2005,5
Christmas Day,Annual,12/25/05,12/26/05,12,25,2005,1
New Year's Day,Year Start,1/1/06,1/2/06,1,1,2006,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/06,1/16/06,1,16,2006,2
Washington's Birthday,Third Monday in Feb,2/20/06,2/20/06,2,20,2006,2
Memorial Day,Last Monday in May,5/29/06,5/29/06,5,29,2006,2
Independence Day,Annual,7/4/06,7/4/06,7,4,2006,3
Labor Day,First Monday in Sept,9/4/06,9/4/06,9,4,2006,2
Columbus Day,Second Monday in Oct,10/9/06,10/9/06,10,9,2006,2
Veterans Day,Annual,11/11/06,11/10/06,11,11,2006,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/06,11/23/06,11,23,2006,5
Christmas Day,Annual,12/25/06,12/25/06,12,25,2006,2
New Year's Day,Year Start,1/1/07,1/1/07,1,1,2007,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/07,1/15/07,1,15,2007,2
Washington's Birthday,Third Monday in Feb,2/19/07,2/19/07,2,19,2007,2
Memorial Day,Last Monday in May,5/28/07,5/28/07,5,28,2007,2
Independence Day,Annual,7/4/07,7/4/07,7,4,2007,4
Labor Day,First Monday in Sept,9/3/07,9/3/07,9,3,2007,2
Columbus Day,Second Monday in Oct,10/8/07,10/8/07,10,8,2007,2
Veterans Day,Annual,11/11/07,11/12/07,11,11,2007,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/07,11/22/07,11,22,2007,5
Christmas Day,Annual,12/25/07,12/25/07,12,25,2007,3
New Year's Day,Year Start,1/1/08,1/1/08,1,1,2008,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/08,1/21/08,1,21,2008,2
Washington's Birthday,Third Monday in Feb,2/18/08,2/18/08,2,18,2008,2
Memorial Day,Last Monday in May,5/26/08,5/26/08,5,26,2008,2
Independence Day,Annual,7/4/08,7/4/08,7,4,2008,6
Labor Day,First Monday in Sept,9/1/08,9/1/08,9,1,2008,2
Columbus Day,Second Monday in Oct,10/13/08,10/13/08,10,13,2008,2
Veterans Day,Annual,11/11/08,11/11/08,11,11,2008,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/08,11/27/08,11,27,2008,5
Christmas Day,Annual,12/25/08,12/25/08,12,25,2008,5
New Year's Day,Year Start,1/1/09,1/1/09,1,1,2009,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/09,1/19/09,1,19,2009,2
Washington's Birthday,Third Monday in Feb,2/16/09,2/16/09,2,16,2009,2
Memorial Day,Last Monday in May,5/25/09,5/25/09,5,25,2009,2
Independence Day,Annual,7/4/09,7/3/09,7,4,2009,7
Labor Day,First Monday in Sept,9/7/09,9/7/09,9,7,2009,2
Columbus Day,Second Monday in Oct,10/12/09,10/12/09,10,12,2009,2
Veterans Day,Annual,11/11/09,11/11/09,11,11,2009,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/09,11/26/09,11,26,2009,5
Christmas Day,Annual,12/25/09,12/25/09,12,25,2009,6
New Year's Day,Year Start,1/1/10,1/1/10,1,1,2010,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/10,1/18/10,1,18,2010,2
Washington's Birthday,Third Monday in Feb,2/15/10,2/15/10,2,15,2010,2
Memorial Day,Last Monday in May,5/31/10,5/31/10,5,31,2010,2
Independence Day,Annual,7/4/10,7/5/10,7,4,2010,1
Labor Day,First Monday in Sept,9/6/10,9/6/10,9,6,2010,2
Columbus Day,Second Monday in Oct,10/11/10,10/11/10,10,11,2010,2
Veterans Day,Annual,11/11/10,11/11/10,11,11,2010,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/10,11/25/10,11,25,2010,5
Christmas Day,Annual,12/25/10,12/24/10,12,25,2010,7
New Year's Day,Year Start,1/1/11,12/31/10,1,1,2011,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/11,1/17/11,1,17,2011,2
Washington's Birthday,Third Monday in Feb,2/21/11,2/21/11,2,21,2011,2
Memorial Day,Last Monday in May,5/30/11,5/30/11,5,30,2011,2
Independence Day,Annual,7/4/11,7/4/11,7,4,2011,2
Labor Day,First Monday in Sept,9/5/11,9/5/11,9,5,2011,2
Columbus Day,Second Monday in Oct,10/10/11,10/10/11,10,10,2011,2
Veterans Day,Annual,11/11/11,11/11/11,11,11,2011,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/11,11/24/11,11,24,2011,5
Christmas Day,Annual,12/25/11,12/26/11,12,25,2011,1
New Year's Day,Year Start,1/1/12,1/2/12,1,1,2012,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/12,1/16/12,1,16,2012,2
Washington's Birthday,Third Monday in Feb,2/20/12,2/20/12,2,20,2012,2
Memorial Day,Last Monday in May,5/28/12,5/28/12,5,28,2012,2
Independence Day,Annual,7/4/12,7/4/12,7,4,2012,4
Labor Day,First Monday in Sept,9/3/12,9/3/12,9,3,2012,2
Columbus Day,Second Monday in Oct,10/8/12,10/8/12,10,8,2012,2
Veterans Day,Annual,11/11/12,11/12/12,11,12,2012,2
Thanksgiving Day,Fourth Thursday in Nov,11/22/12,11/22/12,11,22,2012,5
Christmas Day,Annual,12/25/12,12/25/12,12,25,2012,3
New Year's Day,Year Start,1/1/13,1/1/13,1,1,2013,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/13,1/21/13,1,21,2013,2
Washington's Birthday,Third Monday in Feb,2/18/13,2/18/13,2,18,2013,2
Memorial Day,Last Monday in May,5/27/13,5/27/13,5,27,2013,2
Independence Day,Annual,7/4/13,7/4/13,7,4,2013,5
Labor Day,First Monday in Sept,9/2/13,9/2/13,9,2,2013,2
Columbus Day,Second Monday in Oct,10/14/13,10/14/13,10,14,2013,2
Veterans Day,Annual,11/11/13,11/11/13,11,11,2013,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/13,11/28/13,11,28,2013,5
Christmas Day,Annual,12/25/13,12/25/13,12,25,2013,4
New Year's Day,Year Start,1/1/14,1/1/14,1,1,2014,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/14,1/20/14,1,20,2014,2
Washington's Birthday,Third Monday in Feb,2/17/14,2/17/14,2,17,2014,2
Memorial Day,Last Monday in May,5/26/14,5/26/14,5,26,2014,2
Independence Day,Annual,7/4/14,7/4/14,7,4,2014,6
Labor Day,First Monday in Sept,9/1/14,9/1/14,9,1,2014,2
Columbus Day,Second Monday in Oct,10/13/14,10/13/14,10,13,2014,2
Veterans Day,Annual,11/11/14,11/11/14,11,11,2014,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/14,11/27/14,11,27,2014,5
Christmas Day,Annual,12/25/14,12/25/14,12,25,2014,5
New Year's Day,Year Start,1/1/15,1/1/15,1,1,2015,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/15,1/19/15,1,19,2015,2
Washington's Birthday,Third Monday in Feb,2/16/15,2/16/15,2,16,2015,2
Memorial Day,Last Monday in May,5/25/15,5/25/15,5,25,2015,2
Independence Day,Annual,7/4/15,7/3/15,7,4,2015,7
Labor Day,First Monday in Sept,9/7/15,9/7/15,9,7,2015,2
Columbus Day,Second Monday in Oct,10/12/15,10/12/15,10,12,2015,2
Veterans Day,Annual,11/11/15,11/11/15,11,11,2015,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/15,11/26/15,11,26,2015,5
Christmas Day,Annual,12/25/15,12/25/15,12,25,2015,6
New Year's Day,Year Start,1/1/16,1/1/16,1,1,2016,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/16,1/18/16,1,18,2016,2
Washington's Birthday,Third Monday in Feb,2/15/16,2/15/16,2,15,2016,2
Memorial Day,Last Monday in May,5/23/16,5/23/16,5,23,2016,2
Independence Day,Annual,7/4/16,7/4/16,7,4,2016,2
Labor Day,First Monday in Sept,9/5/16,9/5/16,9,5,2016,2
Columbus Day,Second Monday in Oct,10/10/16,10/10/16,10,10,2016,2
Veterans Day,Annual,11/11/16,11/11/16,11,11,2016,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/16,11/24/16,11,24,2016,5
Christmas Day,Annual,12/25/16,12/26/16,12,25,2016,1
New Year's Day,Year Start,1/1/17,1/2/17,1,1,2017,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/17,1/16/17,1,16,2017,2
Washington's Birthday,Third Monday in Feb,2/20/17,2/20/17,2,20,2017,2
Memorial Day,Last Monday in May,5/22/17,5/22/17,5,22,2017,2
Independence Day,Annual,7/4/17,7/4/17,7,4,2017,3
Labor Day,First Monday in Sept,9/4/17,9/4/17,9,4,2017,2
Columbus Day,Second Monday in Oct,10/9/17,10/9/17,10,9,2017,2
Veterans Day,Annual,11/11/17,11/10/17,11,11,2017,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/17,11/23/17,11,23,2017,5
Christmas Day,Annual,12/25/17,12/25/17,12,25,2017,2
New Year's Day,Year Start,1/1/18,1/1/18,1,1,2018,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/18,1/15/18,1,15,2018,2
Washington's Birthday,Third Monday in Feb,2/19/18,2/19/18,2,19,2018,2
Memorial Day,Last Monday in May,5/28/18,5/28/18,5,28,2018,2
Independence Day,Annual,7/4/18,7/4/18,7,4,2018,4
Labor Day,First Monday in Sept,9/3/18,9/3/18,9,3,2018,2
Columbus Day,Second Monday in Oct,10/8/18,10/8/18,10,8,2018,2
Veterans Day,Annual,11/11/18,11/12/18,11,11,2018,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/18,11/22/18,11,22,2018,5
Christmas Day,Annual,12/25/18,12/25/18,12,25,2018,3
New Year's Day,Year Start,1/1/19,1/1/19,1,1,2019,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/19,1/21/19,1,21,2019,2
Washington's Birthday,Third Monday in Feb,2/18/19,2/18/19,2,18,2019,2
Memorial Day,Last Monday in May,5/27/19,5/27/19,5,27,2019,2
Independence Day,Annual,7/4/19,7/4/19,7,4,2019,5
Labor Day,First Monday in Sept,9/2/19,9/2/19,9,2,2019,2
Columbus Day,Second Monday in Oct,10/14/19,10/14/19,10,14,2019,2
Veterans Day,Annual,11/11/19,11/11/19,11,11,2019,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/19,11/28/19,11,28,2019,5
Christmas Day,Annual,12/25/19,12/25/19,12,25,2019,4
New Year's Day,Year Start,1/1/20,1/1/20,1,1,2020,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/20,1/20/20,1,20,2020,2
Washington's Birthday,Third Monday in Feb,2/17/20,2/17/20,2,17,2020,2
Memorial Day,Last Monday in May,5/25/20,5/25/20,5,25,2020,2
Independence Day,Annual,7/4/20,7/3/20,7,4,2020,7
Labor Day,First Monday in Sept,9/7/20,9/7/20,9,7,2020,2
Columbus Day,Second Monday in Oct,10/12/20,10/12/20,10,12,2020,2
Veterans Day,Annual,11/11/20,11/11/20,11,11,2020,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/20,11/26/20,11,26,2020,5
Christmas Day,Annual,12/25/20,12/25/20,12,25,2020,6
New Year's Day,Year Start,1/1/21,1/1/21,1,1,2021,6
